,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
131612,Freedom Mobile Inc.(See Shaw Communications Inc.-008269),2016,Full-Time,Provincial,British Columbia,Overall,75,60,15,1,0,36
131641,Freedom Mobile Inc.(See Shaw Communications Inc.-008269),2016,Full-Time,Provincial,Alberta,Overall,73,48,25,5,0,33
131741,Freedom Mobile Inc.(See Shaw Communications Inc.-008269),2016,Part-Time,Provincial,Ontario,Overall,243,156,87,4,3,109
131750,Freedom Mobile Inc.(See Shaw Communications Inc.-008269),2016,Part-Time,Provincial,British Columbia,Overall,55,38,17,0,1,35
131755,Freedom Mobile Inc.(See Shaw Communications Inc.-008269),2016,Part-Time,Provincial,Alberta,Overall,58,42,16,3,1,36
131827,Freshwater Fish Marketing Corporation,2016,Full-Time,Provincial,Manitoba,Overall,293,139,154,53,3,105
131950,Freshwater Fish Marketing Corporation,2016,Temporary,Provincial,Manitoba,Overall,96,62,34,30,1,27
132013,G. Zavitz Limited,2016,Full-Time,Provincial,Ontario,Overall,105,100,5,2,2,7
132055,G. Zavitz Limited,2016,Part-Time,Provincial,Ontario,Overall,4,1,3,0,0,0
132109,G3 Canada Limited,2016,Full-Time,Provincial,Québec,Overall,127,115,12,0,0,0
132150,G3 Canada Limited,2016,Full-Time,Provincial,Manitoba,Overall,100,66,34,0,0,0
132200,G3 Canada Limited,2016,Part-Time,Provincial,Québec,Overall,1,0,1,0,0,0
132205,G3 Canada Limited,2016,Part-Time,Provincial,Manitoba,Overall,5,1,4,0,0,0
132259,Gardewine Group Limited Partnership,2016,Full-Time,Provincial,Ontario,Overall,353,324,29,23,13,25
132300,Gardewine Group Limited Partnership,2016,Full-Time,Provincial,Manitoba,Overall,665,559,106,100,31,82
132411,Gardewine Group Limited Partnership,2016,Part-Time,Provincial,Ontario,Overall,49,37,12,4,1,9
132424,Gardewine Group Limited Partnership,2016,Part-Time,Provincial,Manitoba,Overall,159,142,17,20,7,24
132503,GCT Canada Limited Partnership,2016,Full-Time,Provincial,British Columbia,Overall,416,355,61,10,6,107
132606,Gestion TForce Inc.,2016,Full-Time,Provincial,Québec,Overall,102,56,46,0,0,4
132748,GLS Logistics Systems Canada Ltd,2016,Full-Time,Provincial,Ontario,Overall,222,181,41,5,0,75
132781,GLS Logistics Systems Canada Ltd,2016,Full-Time,Provincial,Québec,Overall,514,402,112,6,4,84
132929,GLS Logistics Systems Canada Ltd,2016,Part-Time,Provincial,Ontario,Overall,52,42,10,2,1,25
132942,GLS Logistics Systems Canada Ltd,2016,Part-Time,Provincial,Québec,Overall,153,138,15,2,3,33
133014,Golden West Broadcasting Ltd.,2016,Full-Time,Provincial,Manitoba,Overall,144,77,67,5,0,1
133039,Golden West Broadcasting Ltd.,2016,Full-Time,Provincial,Saskatchewan,Overall,81,34,47,2,5,2
133064,Golden West Broadcasting Ltd.,2016,Full-Time,Provincial,Alberta,Overall,79,39,40,2,1,3
133110,Golden West Broadcasting Ltd.,2016,Part-Time,Provincial,Manitoba,Overall,40,21,19,3,0,1
133127,Golden West Broadcasting Ltd.,2016,Part-Time,Provincial,Saskatchewan,Overall,18,7,11,0,0,1
133144,Golden West Broadcasting Ltd.,2016,Part-Time,Provincial,Alberta,Overall,22,7,15,0,1,1
133202,Grain Millers Canada Corp.,2016,Full-Time,Provincial,Saskatchewan,Overall,131,105,26,2,0,17
133264,Grain Millers Canada Corp.,2016,Part-Time,Provincial,Saskatchewan,Overall,2,2,0,0,0,0
133322,Great Canadian Railtour Company Ltd.,2016,Full-Time,Provincial,British Columbia,Overall,230,113,117,8,1,51
133417,Great Canadian Railtour Company Ltd.,2016,Part-Time,Provincial,British Columbia,Overall,2,0,2,0,0,0
133480,Great Canadian Railtour Company Ltd.,2016,Temporary,Provincial,British Columbia,Overall,316,118,198,13,5,40
133664,Greater Toronto Airports Authority,2016,Full-Time,Provincial,Ontario,Overall,1414,1029,385,11,10,279
133787,Greater Toronto Airports Authority,2016,Part-Time,Provincial,Ontario,Overall,24,9,15,0,1,6
133850,Greyhound Canada Transportation ULC.,2016,Full-Time,Provincial,Ontario,Overall,363,304,59,8,11,80
133891,Greyhound Canada Transportation ULC.,2016,Full-Time,Provincial,Manitoba,Overall,67,54,13,6,6,5
133928,Greyhound Canada Transportation ULC.,2016,Full-Time,Provincial,British Columbia,Overall,185,148,37,9,12,37
133965,Greyhound Canada Transportation ULC.,2016,Full-Time,Provincial,Alberta,Overall,183,140,43,8,7,43
134151,Greyhound Canada Transportation ULC.,2016,Part-Time,Provincial,Ontario,Overall,21,11,10,0,1,8
134160,Greyhound Canada Transportation ULC.,2016,Part-Time,Provincial,Manitoba,Overall,10,9,1,2,2,2
134177,Greyhound Canada Transportation ULC.,2016,Part-Time,Provincial,British Columbia,Overall,24,18,6,0,0,7
134194,Greyhound Canada Transportation ULC.,2016,Part-Time,Provincial,Alberta,Overall,17,15,2,3,1,6
134280,Grimshaw Trucking L.P.,2016,Full-Time,Provincial,Alberta,Overall,207,163,44,12,3,21
134355,Grimshaw Trucking L.P.,2016,Part-Time,Provincial,Alberta,Overall,7,2,5,1,0,2
134398,Groupe Galland,2016,Full-Time,Provincial,Québec,Overall,51,34,17,0,0,6
134453,Groupe Galland,2016,Part-Time,Provincial,Québec,Overall,113,81,32,0,0,20
134504,Groupe Guilbault Ltée,2016,Full-Time,Provincial,Québec,Overall,140,75,65,0,1,5
134554,Groupe Guilbault Ltée,2016,Part-Time,Provincial,Québec,Overall,2,0,2,0,0,0
134568,Groupe Robert,2016,Full-Time,Provincial,Québec,Overall,253,250,3,4,11,4
134583,Groupe Robert,2016,Part-Time,Provincial,Québec,Overall,17,17,0,1,1,0
134638,Groupe Transport Morneau inc.,2016,Full-Time,Provincial,Québec,Overall,438,374,64,3,2,11
134700,Groupe Transport Morneau inc.,2016,Part-Time,Provincial,Québec,Overall,53,49,4,0,0,0
134766,Groupe TVA Inc.,2016,Full-Time,Provincial,Québec,Overall,929,524,405,9,1,20
134885,Groupe TVA Inc.,2016,Part-Time,Provincial,Québec,Overall,28,18,10,0,0,0
134968,Groupe TVA Inc.,2016,Temporary,Provincial,Québec,Overall,546,292,254,4,1,22
135079,Groupe V Média,2016,Full-Time,Provincial,Québec,Overall,103,37,66,0,0,5
135161,H & R Transport Limited,2016,Full-Time,Provincial,Alberta,Overall,421,334,87,8,8,39
135264,H & R Transport Limited,2016,Part-Time,Provincial,Alberta,Overall,2,2,0,0,0,1
135311,Halifax Employers Association,2016,Full-Time,Provincial,Nova Scotia,Overall,478,428,50,23,41,19
135426,Halifax International Airport Authority,2016,Full-Time,Provincial,Nova Scotia,Overall,165,116,49,4,3,9
135545,Hallcon Crew Transport Inc.,2016,Full-Time,Provincial,Ontario,Overall,41,27,14,0,1,5
135566,Hallcon Crew Transport Inc.,2016,Full-Time,Provincial,British Columbia,Overall,29,29,0,3,3,3
135579,Hallcon Crew Transport Inc.,2016,Full-Time,Provincial,Saskatchewan,Overall,32,21,11,2,3,2
135588,Hallcon Crew Transport Inc.,2016,Full-Time,Provincial,Alberta,Overall,27,21,6,3,2,1
135606,Hallcon Crew Transport Inc.,2016,Part-Time,Provincial,Ontario,Overall,51,43,8,3,6,3
135615,Hallcon Crew Transport Inc.,2016,Part-Time,Provincial,British Columbia,Overall,61,47,14,4,7,6
135624,Hallcon Crew Transport Inc.,2016,Part-Time,Provincial,Saskatchewan,Overall,47,38,9,2,2,1
135633,Hallcon Crew Transport Inc.,2016,Part-Time,Provincial,Alberta,Overall,91,76,15,4,5,7
135679,Hammond Transportation Ltd.,2016,Full-Time,Provincial,Ontario,Overall,32,20,12,2,0,0
135737,Hammond Transportation Ltd.,2016,Part-Time,Provincial,Ontario,Overall,183,114,69,3,3,1
135787,Hapag-Lloyd (Canada) Inc,2016,Full-Time,Provincial,Québec,Overall,153,45,108,1,5,42
135874,Harvard Broadcasting Inc.,2016,Full-Time,Provincial,Saskatchewan,Overall,101,70,31,3,3,0
135899,Harvard Broadcasting Inc.,2016,Full-Time,Provincial,Alberta,Overall,115,68,47,6,5,2
135937,Harvard Broadcasting Inc.,2016,Part-Time,Provincial,Saskatchewan,Overall,20,7,13,1,4,2
135946,Harvard Broadcasting Inc.,2016,Part-Time,Provincial,Alberta,Overall,27,13,14,2,3,0
136000,Hélicoptères Canadiens Limitée/Canadian Helicopters Limited,2016,Full-Time,Provincial,Québec,Overall,138,99,39,1,0,1
136135,Helijet International Inc.,2016,Full-Time,Provincial,British Columbia,Overall,113,91,22,1,0,13
136226,Helijet International Inc.,2016,Part-Time,Provincial,British Columbia,Overall,42,21,21,0,0,5
136293,Henri Sicotte inc,2016,Full-Time,Provincial,Québec,Overall,159,149,10,2,0,1
136343,Henri Sicotte inc,2016,Part-Time,Provincial,Québec,Overall,92,87,5,1,0,1
136413,Hensall District Co-operative Inc.,2016,Full-Time,Provincial,Ontario,Overall,489,388,101,8,31,10
136495,Hensall District Co-operative Inc.,2016,Part-Time,Provincial,Ontario,Overall,49,33,16,1,2,0
136541,Highland Moving and Storage Ltd.,2016,Full-Time,Provincial,Alberta,Overall,100,73,27,2,0,1
136591,HomeEquity Bank,2016,Full-Time,Provincial,Ontario,Overall,123,65,58,2,2,43
136662,HomeEquity Bank,2016,Part-Time,Provincial,Ontario,Overall,1,1,0,0,0,0
136709,HSBC Bank Canada,2016,Full-Time,Provincial,Ontario,Overall,1543,745,798,17,53,733
136746,HSBC Bank Canada,2016,Full-Time,Provincial,Québec,Overall,393,173,220,4,15,91
136779,HSBC Bank Canada,2016,Full-Time,Provincial,British Columbia,Overall,2591,1198,1393,29,124,1493
136816,HSBC Bank Canada,2016,Full-Time,Provincial,Alberta,Overall,267,126,141,1,9,106
137023,HSBC Bank Canada,2016,Part-Time,Provincial,Ontario,Overall,100,18,82,2,3,35
137036,HSBC Bank Canada,2016,Part-Time,Provincial,Québec,Overall,49,11,38,0,1,7
137053,HSBC Bank Canada,2016,Part-Time,Provincial,British Columbia,Overall,176,46,130,5,9,67
137078,HSBC Bank Canada,2016,Part-Time,Provincial,Alberta,Overall,36,10,26,0,1,11
137225,Hudbay Minerals Inc.,2016,Full-Time,Provincial,Manitoba,Overall,1298,1114,184,177,67,76
137303,Hudson Bay Railway Company,2016,Full-Time,Provincial,Manitoba,Overall,115,113,2,0,0,0
137361,Hutton Transport Limited,2016,Full-Time,Provincial,Ontario,Overall,119,112,7,2,0,2
137447,Hyndman Transport Limited,2016,Full-Time,Provincial,Ontario,Overall,405,330,75,5,1,9
137517,Hyndman Transport Limited,2016,Part-Time,Provincial,Ontario,Overall,173,155,18,5,4,14
137571,ICICI Bank Canada,2016,Full-Time,Provincial,Ontario,Overall,167,113,54,0,2,138
137694,IMP Group Limited - Aerospace Division,2016,Full-Time,Provincial,Nova Scotia,Overall,935,722,213,23,73,46
137809,IMP Group Limited - Aerospace Division,2016,Part-Time,Provincial,Nova Scotia,Overall,3,1,2,0,0,1
137864,Industrial and Commercial Bank of China (Canada),2016,Full-Time,Provincial,Ontario,Overall,133,46,87,0,0,59
137939,Industrial and Commercial Bank of China (Canada),2016,Part-Time,Provincial,Ontario,Overall,7,4,3,0,0,6
137998,Information Communication Services,2016,Full-Time,Provincial,Ontario,Overall,279,165,114,18,25,80
138039,Information Communication Services,2016,Full-Time,Provincial,Québec,Overall,125,98,27,5,4,31
138135,Information Communication Services,2016,Part-Time,Provincial,Ontario,Overall,37,16,21,4,3,16
138148,Information Communication Services,2016,Part-Time,Provincial,Québec,Overall,12,8,4,1,1,9
138208,Inmarsat Solutions (Canada) Inc.,2016,Full-Time,Provincial,Newfoundland and Labrador,Overall,182,86,96,5,2,6
138262,Inmarsat Solutions (Canada) Inc.,2016,Part-Time,Provincial,Newfoundland and Labrador,Overall,3,0,3,0,0,0
138320,"Innotech Aviation, a division of IMP Group Limited",2016,Full-Time,Provincial,Québec,Overall,229,194,35,1,1,29
138431,"Innotech Aviation, a division of IMP Group Limited",2016,Part-Time,Provincial,Québec,Overall,3,3,0,0,0,0
138482,Instech Télécommunication Inc.,2016,Full-Time,Provincial,Québec,Overall,243,232,11,0,5,62
138561,Intek Communications Inc.,2016,Full-Time,Provincial,Ontario,Overall,213,204,9,5,10,94
138599,Intek Communications Inc.,2016,Part-Time,Provincial,Ontario,Overall,3,2,1,0,1,0
138645,International Air Transport Association,2016,Full-Time,Provincial,Québec,Overall,275,161,114,0,2,69
138724,International Air Transport Association,2016,Part-Time,Provincial,Québec,Overall,1,0,1,0,0,0
138771,International Development Research Centre,2016,Full-Time,Provincial,Ontario,Overall,224,83,141,4,5,41
138813,International Development Research Centre,2016,Part-Time,Provincial,Ontario,Overall,2,1,1,0,1,1
138843,International Development Research Centre,2016,Temporary,Provincial,Ontario,Overall,61,23,38,1,3,19
138917,International Truckload Services Inc.,2016,Full-Time,Provincial,Ontario,Overall,339,276,63,10,9,5
138975,International Truckload Services Inc.,2016,Part-Time,Provincial,Ontario,Overall,7,7,0,1,0,0
139009,Iron Range Bus Lines Inc.,2016,Full-Time,Provincial,Ontario,Overall,29,21,8,0,2,1
139051,Iron Range Bus Lines Inc.,2016,Part-Time,Provincial,Ontario,Overall,280,142,138,9,6,5
139105,J & R Hall Transport Inc.,2016,Full-Time,Provincial,Ontario,Overall,96,73,23,2,1,1
139159,J & R Hall Transport Inc.,2016,Part-Time,Provincial,Ontario,Overall,13,13,0,0,0,0
139217,J. & T. Murphy Limited,2016,Full-Time,Provincial,Ontario,Overall,38,22,16,0,7,2
139279,J. & T. Murphy Limited,2016,Part-Time,Provincial,Ontario,Overall,275,146,129,7,85,7
139337,Jay's Transportation Group Ltd.,2016,Full-Time,Provincial,Saskatchewan,Overall,184,137,47,19,17,18
139387,Jay's Transportation Group Ltd.,2016,Part-Time,Provincial,Saskatchewan,Overall,4,1,3,0,0,0
139449,Jazz Aviation L.P.,2016,Full-Time,Provincial,Ontario,Overall,1106,797,309,14,18,180
139502,Jazz Aviation L.P.,2016,Full-Time,Provincial,Québec,Overall,573,411,162,9,4,45
139551,Jazz Aviation L.P.,2016,Full-Time,Provincial,Nova Scotia,Overall,779,522,257,17,30,55
139604,Jazz Aviation L.P.,2016,Full-Time,Provincial,British Columbia,Overall,552,355,197,16,16,87
139657,Jazz Aviation L.P.,2016,Full-Time,Provincial,Alberta,Overall,827,542,285,17,17,144
139972,Jazz Aviation L.P.,2016,Part-Time,Provincial,Ontario,Overall,105,31,74,2,6,15
139981,Jazz Aviation L.P.,2016,Part-Time,Provincial,Québec,Overall,67,22,45,0,1,7
139990,Jazz Aviation L.P.,2016,Part-Time,Provincial,Nova Scotia,Overall,26,1,25,0,0,3
139999,Jazz Aviation L.P.,2016,Part-Time,Provincial,British Columbia,Overall,147,46,101,5,3,30
140008,Jazz Aviation L.P.,2016,Part-Time,Provincial,Alberta,Overall,47,10,37,1,2,12
140091,"Jervis B. Webb Company of Canada, Ltd.",2016,Full-Time,Provincial,Ontario,Overall,100,85,15,0,0,37
140178,Jet Transport Ltd.,2016,Full-Time,Provincial,Ontario,Overall,94,85,9,0,2,1
140204,Jet Transport Ltd.,2016,Part-Time,Provincial,Ontario,Overall,1,1,0,0,0,0
140238,Jim Pattison Industries Ltd.,2016,Full-Time,Provincial,British Columbia,Overall,284,171,113,12,53,18
140267,Jim Pattison Industries Ltd.,2016,Full-Time,Provincial,Alberta,Overall,231,125,106,9,37,9
140313,Jim Pattison Industries Ltd.,2016,Part-Time,Provincial,British Columbia,Overall,67,37,30,4,9,2
140326,Jim Pattison Industries Ltd.,2016,Part-Time,Provincial,Alberta,Overall,37,21,16,0,6,2
140380,"JPMorgan Chase Bank, N.A.",2016,Full-Time,Provincial,Ontario,Overall,457,242,215,3,8,156
140421,"JPMorgan Chase Bank, N.A.",2016,Full-Time,Provincial,Québec,Overall,19,12,7,0,0,6
140537,"JPMorgan Chase Bank, N.A.",2016,Part-Time,Provincial,Ontario,Overall,13,1,12,0,0,6
140562,"JPMorgan Chase Bank, N.A.",2016,Part-Time,Provincial,Québec,Overall,1,0,1,0,0,0
140618,KEB Hana Bank Canada,2016,Full-Time,Provincial,Ontario,Overall,121,52,69,0,0,121
140665,KEB Hana Bank Canada,2016,Part-Time,Provincial,Ontario,Overall,5,0,5,0,0,5
140758,Keith Hall & Sons Transport Limited,2016,Full-Time,Provincial,Ontario,Overall,163,156,7,1,6,5
140800,Keith Hall & Sons Transport Limited,2016,Part-Time,Provincial,Ontario,Overall,7,6,1,0,0,0
140862,Kelowna Flightcraft Group of Companies,2016,Full-Time,Provincial,Ontario,Overall,110,93,17,4,2,16
140899,Kelowna Flightcraft Group of Companies,2016,Full-Time,Provincial,British Columbia,Overall,568,457,111,29,13,47
140981,Kelowna Flightcraft Group of Companies,2016,Part-Time,Provincial,Ontario,Overall,3,3,0,0,0,0
140994,Kelowna Flightcraft Group of Companies,2016,Part-Time,Provincial,British Columbia,Overall,15,12,3,0,0,3
141036,Keltic Transportation Incorporated,2016,Full-Time,Provincial,New Brunswick,Overall,110,96,14,3,0,13
141070,Keltic Transportation Incorporated,2016,Part-Time,Provincial,New Brunswick,Overall,3,3,0,0,0,0
141124,Kenn Borek Air Ltd.,2016,Full-Time,Provincial,Alberta,Overall,223,195,28,10,2,24
141235,Kenn Borek Air Ltd.,2016,Part-Time,Provincial,Alberta,Overall,11,10,1,0,0,1
141310,Kindersley Transport Ltd.,2016,Full-Time,Provincial,Saskatchewan,Overall,217,137,80,5,4,30
141335,Kindersley Transport Ltd.,2016,Full-Time,Provincial,Alberta,Overall,91,78,13,4,2,12
141365,Kindersley Transport Ltd.,2016,Part-Time,Provincial,Saskatchewan,Overall,16,12,4,0,1,1
141374,Kindersley Transport Ltd.,2016,Part-Time,Provincial,Alberta,Overall,8,6,2,1,0,1
141436,Kleysen Group Ltd.,2016,Full-Time,Provincial,Manitoba,Overall,198,157,41,11,11,29
141485,Kleysen Group Ltd.,2016,Full-Time,Provincial,Alberta,Overall,72,59,13,2,1,9
141592,Kleysen Group Ltd.,2016,Part-Time,Provincial,Manitoba,Overall,6,4,2,0,1,1
141667,Kriska Holdings Ltd.,2016,Full-Time,Provincial,Ontario,Overall,419,349,70,7,37,35
141762,Kriska Holdings Ltd.,2016,Part-Time,Provincial,Ontario,Overall,7,6,1,0,1,0
141805,Kunkel Bus Lines Ltd.,2016,Full-Time,Provincial,Ontario,Overall,20,13,7,0,0,0
141847,Kunkel Bus Lines Ltd.,2016,Part-Time,Provincial,Ontario,Overall,176,104,72,0,1,0
141993,L. Simard Transport Ltée,2016,Full-Time,Provincial,Québec,Overall,302,247,55,1,3,57
142096,L. Simard Transport Ltée,2016,Part-Time,Provincial,Québec,Overall,5,2,3,0,1,2
142171,L3 Technologies MAS inc,2016,Full-Time,Provincial,Québec,Overall,528,423,105,7,14,23
142294,L3 Technologies MAS inc,2016,Part-Time,Provincial,Québec,Overall,30,13,17,0,0,0
142357,Laidlaw Carriers Bulk LP (Inactive),2016,Full-Time,Provincial,Ontario,Overall,81,80,1,4,1,0
142375,Laidlaw Carriers Bulk LP (Inactive),2016,Part-Time,Provincial,Ontario,Overall,2,2,0,0,0,0
142389,Laidlaw Carriers Van LP (Inactive),2016,Full-Time,Provincial,Ontario,Overall,127,126,1,4,11,7
142403,Laidlaw Carriers Van LP (Inactive),2016,Part-Time,Provincial,Ontario,Overall,2,2,0,0,0,0
142471,Le Groupe de Sécurité Garda Inc,2016,Full-Time,Provincial,Ontario,Overall,2499,1347,1152,30,49,672
142504,Le Groupe de Sécurité Garda Inc,2016,Full-Time,Provincial,Québec,Overall,1415,1121,294,32,15,57
142533,Le Groupe de Sécurité Garda Inc,2016,Full-Time,Provincial,Nova Scotia,Overall,113,73,40,1,3,2
142554,Le Groupe de Sécurité Garda Inc,2016,Full-Time,Provincial,Manitoba,Overall,289,175,114,5,2,21
142579,Le Groupe de Sécurité Garda Inc,2016,Full-Time,Provincial,British Columbia,Overall,229,187,42,2,3,20
142600,Le Groupe de Sécurité Garda Inc,2016,Full-Time,Provincial,Saskatchewan,Overall,232,129,103,6,0,26
142617,Le Groupe de Sécurité Garda Inc,2016,Full-Time,Provincial,Alberta,Overall,1286,656,630,19,15,386
142842,Le Groupe de Sécurité Garda Inc,2016,Part-Time,Provincial,Ontario,Overall,1220,769,451,11,9,409
142867,Le Groupe de Sécurité Garda Inc,2016,Part-Time,Provincial,Québec,Overall,166,126,40,2,1,16
142880,Le Groupe de Sécurité Garda Inc,2016,Part-Time,Provincial,Nova Scotia,Overall,13,7,6,2,1,1
142889,Le Groupe de Sécurité Garda Inc,2016,Part-Time,Provincial,Manitoba,Overall,113,63,50,4,2,11
142902,Le Groupe de Sécurité Garda Inc,2016,Part-Time,Provincial,British Columbia,Overall,92,66,26,0,2,20
142911,Le Groupe de Sécurité Garda Inc,2016,Part-Time,Provincial,Saskatchewan,Overall,48,37,11,2,1,5
142920,Le Groupe de Sécurité Garda Inc,2016,Part-Time,Provincial,Alberta,Overall,306,162,144,6,5,107
143069,Le Groupe Océan Inc.,2016,Full-Time,Provincial,Québec,Overall,669,591,78,4,0,19
143159,Le Groupe Océan Inc.,2016,Part-Time,Provincial,Québec,Overall,25,21,4,0,0,0
143229,Linamar Transportation Inc.,2016,Full-Time,Provincial,Ontario,Overall,129,102,27,2,9,14
143267,Linamar Transportation Inc.,2016,Part-Time,Provincial,Ontario,Overall,1,0,1,0,0,0
143317,Lockheed Martin Commercial Engine Solutions,2016,Full-Time,Provincial,Québec,Overall,202,173,29,3,3,29
143440,Logistec Arrimage Inc.,2016,Full-Time,Provincial,Québec,Overall,88,78,10,2,0,2
143490,Logistec Arrimage Inc.,2016,Part-Time,Provincial,Québec,Overall,19,17,2,0,0,0
143598,Lower Lakes Towing Ltd.,2016,Full-Time,Provincial,Ontario,Overall,269,260,9,7,8,12
143636,Lower Lakes Towing Ltd.,2016,Part-Time,Provincial,Ontario,Overall,7,7,0,0,0,0
143694,"LTS Solutions Ltd, Summit Air Ltd, Ledcor Management Ltd and Ledcor Maintenance Services Ltd.",2016,Full-Time,Provincial,British Columbia,Overall,609,494,115,9,6,185
143739,"LTS Solutions Ltd, Summit Air Ltd, Ledcor Management Ltd and Ledcor Maintenance Services Ltd.",2016,Full-Time,Provincial,Alberta,Overall,187,163,24,3,3,48
143784,"LTS Solutions Ltd, Summit Air Ltd, Ledcor Management Ltd and Ledcor Maintenance Services Ltd.",2016,Full-Time,Provincial,Northwest Territories,Overall,106,87,19,2,0,12
143948,"LTS Solutions Ltd, Summit Air Ltd, Ledcor Management Ltd and Ledcor Maintenance Services Ltd.",2016,Part-Time,Provincial,British Columbia,Overall,20,11,9,2,1,4
143973,"LTS Solutions Ltd, Summit Air Ltd, Ledcor Management Ltd and Ledcor Maintenance Services Ltd.",2016,Part-Time,Provincial,Alberta,Overall,1,1,0,0,0,0
143978,"LTS Solutions Ltd, Summit Air Ltd, Ledcor Management Ltd and Ledcor Maintenance Services Ltd.",2016,Part-Time,Provincial,Northwest Territories,Overall,1,1,0,0,0,0
144054,Mackie Moving Systems Corporation,2016,Full-Time,Provincial,Ontario,Overall,136,74,62,4,1,10
144108,Mackie Moving Systems Corporation,2016,Part-Time,Provincial,Ontario,Overall,3,1,2,0,0,0
144146,Maersk Supply Service Canada Ltd.,2016,Full-Time,Provincial,Newfoundland and Labrador,Overall,193,187,6,0,0,0
144196,Mantei's Transport Ltd.,2016,Full-Time,Provincial,Alberta,Overall,125,118,7,0,0,25
144226,Mantei's Transport Ltd.,2016,Part-Time,Provincial,Alberta,Overall,7,7,0,1,0,2
144272,Manulife Bank of Canada,2016,Full-Time,Provincial,Ontario,Overall,621,255,366,6,16,106
144305,Manulife Bank of Canada,2016,Full-Time,Provincial,Nova Scotia,Overall,155,48,107,5,6,9
144388,Manulife Bank of Canada,2016,Part-Time,Provincial,Ontario,Overall,7,1,6,0,0,0
144401,Manulife Bank of Canada,2016,Part-Time,Provincial,Nova Scotia,Overall,4,2,2,0,0,0
144472,Marine Atlantic Inc.,2016,Full-Time,Provincial,Nova Scotia,Overall,343,240,103,5,13,8
144525,Marine Atlantic Inc.,2016,Full-Time,Provincial,Newfoundland and Labrador,Overall,477,336,141,23,22,4
144627,Marine Atlantic Inc.,2016,Part-Time,Provincial,Nova Scotia,Overall,277,148,129,5,14,6
144676,Marine Atlantic Inc.,2016,Part-Time,Provincial,Newfoundland and Labrador,Overall,256,121,135,20,16,2
144836,Masterfeeds Inc.,2016,Full-Time,Provincial,Ontario,Overall,222,176,46,3,10,6
144889,Masterfeeds Inc.,2016,Full-Time,Provincial,Manitoba,Overall,151,120,31,7,6,14
144942,Masterfeeds Inc.,2016,Full-Time,Provincial,Saskatchewan,Overall,111,68,43,5,4,8
144983,Masterfeeds Inc.,2016,Full-Time,Provincial,Alberta,Overall,108,83,25,3,5,6
145065,Masterfeeds Inc.,2016,Part-Time,Provincial,Ontario,Overall,16,11,5,1,2,0
145086,Masterfeeds Inc.,2016,Part-Time,Provincial,Manitoba,Overall,5,3,2,0,0,1
145103,Masterfeeds Inc.,2016,Part-Time,Provincial,Saskatchewan,Overall,40,13,27,4,1,0
145124,Masterfeeds Inc.,2016,Part-Time,Provincial,Alberta,Overall,3,1,2,2,0,0
145182,McKeil Marine Limited,2016,Full-Time,Provincial,Ontario,Overall,206,186,20,2,0,11
145276,McKevitt Trucking Limited,2016,Full-Time,Provincial,Ontario,Overall,182,155,27,6,5,12
145334,McKevitt Trucking Limited,2016,Part-Time,Provincial,Ontario,Overall,7,7,0,0,0,0
145388,Menzies Aviation (Canada) Ltd.,2016,Full-Time,Provincial,Ontario,Overall,264,243,21,0,0,122
145429,Menzies Aviation (Canada) Ltd.,2016,Full-Time,Provincial,Manitoba,Overall,66,57,9,0,0,21
145454,Menzies Aviation (Canada) Ltd.,2016,Full-Time,Provincial,Alberta,Overall,101,90,11,0,0,38
145562,Menzies Aviation (Canada) Ltd.,2016,Part-Time,Provincial,Ontario,Overall,50,40,10,0,0,21
145571,Menzies Aviation (Canada) Ltd.,2016,Part-Time,Provincial,Manitoba,Overall,66,56,10,0,0,25
145588,Menzies Aviation (Canada) Ltd.,2016,Part-Time,Provincial,Alberta,Overall,11,10,1,0,0,8
145680,Midland Transport Limited,2016,Full-Time,Provincial,Ontario,Overall,182,142,40,5,4,52
145721,Midland Transport Limited,2016,Full-Time,Provincial,Québec,Overall,162,147,15,3,6,14
145754,Midland Transport Limited,2016,Full-Time,Provincial,Nova Scotia,Overall,143,130,13,0,13,5
145779,Midland Transport Limited,2016,Full-Time,Provincial,New Brunswick,Overall,723,508,215,3,21,8
145940,Midland Transport Limited,2016,Part-Time,Provincial,Ontario,Overall,17,15,2,0,0,9
145949,Midland Transport Limited,2016,Part-Time,Provincial,Québec,Overall,20,20,0,0,0,6
145958,Midland Transport Limited,2016,Part-Time,Provincial,Nova Scotia,Overall,23,23,0,1,2,4
145963,Midland Transport Limited,2016,Part-Time,Provincial,New Brunswick,Overall,8,7,1,0,0,1
146135,MTS Inc. (Inactive),2016,Full-Time,Provincial,Manitoba,Overall,2132,1353,779,165,57,238
146270,MTS Inc. (Inactive),2016,Part-Time,Provincial,Manitoba,Overall,403,191,212,35,18,85
146373,MTU Maintenance Canada Ltd.,2016,Full-Time,Provincial,British Columbia,Overall,383,334,49,6,14,161
146468,MTU Maintenance Canada Ltd.,2016,Part-Time,Provincial,British Columbia,Overall,1,1,0,1,0,0
146507,"MUFG Bank, Ltd., Canada Branch",2016,Full-Time,Provincial,Ontario,Overall,103,50,53,1,2,49
